2605.23287	langflash	understanding	arXiv preprint (2026-05)	PREPRINT	LangFlash: Feed-forward 3D Language Gaussian Splatting 
2605.23892	good-token-hunting	foundation	arXiv preprint (2026-05)	PREPRINT	Good Token Hunting: A Hitchhiker's Guide to Token Selec
2605.22020	foresplat	gaussian-splatting	arXiv preprint (2026-05)	PREPRINT	ForeSplat: Optimization-Aware Foresight for Feed-Forwar
2605.19656	cross-view-splatter	gaussian-splatting	CVPR 2026	LIKELY	Cross-View Splatter: Feed-Forward View Synthesis with G
2605.19539	trust-it-or-not	foundation	ICML 2026	LIKELY	Trust It or Not: Evidential Uncertainty for Feed-Forwar
2605.17942	uavff3d	foundation	arXiv preprint (2026-05)	PREPRINT	UAVFF3D: A Geometry-Aware Benchmark for Feed-Forward UA
2605.16258	ivgt	reconstruction	arXiv preprint (2026-05)	PREPRINT	IVGT: Implicit Visual Geometry Transformer for Neural S
2605.15828	fisher-quant	foundation	arXiv preprint (2026-05)	PREPRINT	Not All Tasks Quantize Equally: Fisher-Guided Quantizat
2605.15186	vggt-edit	reconstruction	arXiv preprint (2026-05)	PREPRINT	VGGT-Edit: Feed-forward Native 3D Scene Editing with Re
2605.13741	lexi-sg	robotics	arXiv preprint (2026-05)	PREPRINT	LEXI-SG: Monocular 3D Scene Graph Mapping with Room-Gui
2605.12587	trackcraft3r	dynamic	arXiv preprint (2026-05)	PREPRINT	TrackCraft3R: Repurposing Video Diffusion Transformers 
2605.11354	lite3r	foundation	arXiv preprint (2026-05)	PREPRINT	Lite3R: A Model-Agnostic Framework for Efficient Feed-F
2605.12027	4dvggt-d	dynamic	arXiv preprint (2026-05)	PREPRINT	4DVGGT-D: 4D Visual Geometry Transformer with Improved 
2605.08371	pacevggt	foundation	arXiv preprint (2026-05)	PREPRINT	PaceVGGT: Pre-Alternating-Attention Token Pruning for V
2605.07978	crossview-sat	reconstruction	arXiv preprint (2026-05)	PREPRINT	Seeing Across Skies and Streets: Feedforward 3D Reconst
2605.07264	sat3r	reconstruction	arXiv preprint (2026-05)	PREPRINT	Sat3R: Satellite DSM Reconstruction via RPC-Aware Depth
2605.06270	spark3r	foundation	arXiv preprint (2026-05)	PREPRINT	Spark3R: Asymmetric Token Reduction Makes Fast Feed-For
2605.04435	ground4d	dynamic	arXiv preprint (2026-05)	PREPRINT	Ground4D: Spatially-Grounded Feedforward 4D Reconstruct
2605.03359	mix3r	reconstruction	arXiv preprint (2026-05)	PREPRINT	Mix3R: Mixing Feed-forward Reconstruction and Generativ
2604.21182	wildsplatter	gaussian-splatting	arXiv preprint (2026-04)	PREPRINT	WildSplatter: Feed-forward 3D Gaussian Splatting with A
2604.19923	unicon3r	dynamic	arXiv preprint (2026-04)	PREPRINT	UniCon3R: Unified Contact-aware 4D Human-Scene Reconstr
2604.15284	globalsplat	gaussian-splatting	arXiv preprint (2026-04)	PREPRINT	GlobalSplat: Efficient Feed-Forward 3D Gaussian Splatti
2604.15237	streamcachevggt	foundation	arXiv preprint (2026-04)	PREPRINT	StreamCacheVGGT: Streaming Visual Geometry Transformers
2604.14025	ff3d-survey	surveys	arXiv preprint (2026-04)	PREPRINT	Feed-Forward 3D Scene Modeling: A Problem-Driven Perspe
2604.14048	free-geometry	reconstruction	arXiv preprint (2026-04)	PREPRINT	Free Geometry: Refining 3D Reconstruction from Longer V
2604.09480	online3r	reconstruction	arXiv preprint (2026-04)	PREPRINT	Online3R: Online Learning for Consistent Sequential Rec
2604.09366	robust	dynamic	arXiv preprint (2026-04)	PREPRINT	Robust 4D Visual Geometry Transformer with Uncertainty-
2604.07279	mem3r	reconstruction	arXiv preprint (2026-04)	PREPRINT	Mem3R: Streaming 3D Reconstruction with Hybrid Memory v
2604.07053	anchorsplat	gaussian-splatting	CVPR 2026	LIKELY	AnchorSplat: Feed-Forward 3D Gaussian Splatting with 3D
2604.05366	3dturboquant	foundation	arXiv preprint (2026-04)	PREPRINT	3DTurboQuant: Training-Free Near-Optimal Quantization f
2604.05182	lsrm	reconstruction	arXiv preprint (2026-04)	PREPRINT	LSRM: High-Fidelity Object-Centric Reconstruction via S
2604.03092	flash-mono	gaussian-splatting	arXiv preprint (2026-04)	PREPRINT	Flash-Mono: Feed-Forward Accelerated Gaussian Splatting
2604.02546	rgb-pointmap	understanding	ECCV 2026	LIKELY	RGB-Pointmap Pretraining for Unified 3D Scene Understan
2604.02107	hyvggt-vo	pose	arXiv preprint (2026-04)	PREPRINT	HyVGGT-VO: Tightly Coupled Hybrid Dense Visual Odometry
2603.29368	stereovggt	reconstruction	arXiv preprint (2026-03)	PREPRINT	StereoVGGT: A Training-Free Visual Geometry Transformer
2603.28896	fisheye3r	reconstruction	arXiv preprint (2026-03)	PREPRINT	Fisheye3R: Adapting Unified 3D Feed-Forward Foundation 
2603.27222	hd-vggt	foundation	arXiv preprint (2026-03)	PREPRINT	HD-VGGT: High-Resolution Visual Geometry Transformer
2603.25993	fast3dis	understanding	arXiv preprint (2026-03)	PREPRINT	FAST3DIS: Feed-forward Anchored Scene Transformer for 3
2603.25827	fus3d	reconstruction	arXiv preprint (2026-03)	PREPRINT	Fus3D: Decoding Consolidated 3D Geometry from Feed-forw
2603.25129	airsplat	gaussian-splatting	arXiv preprint (2026-03)	PREPRINT	AirSplat: Alignment and Rating for Robust Feed-Forward 
2603.25745	lgtm	gaussian-splatting	arXiv preprint (2026-03)	PREPRINT	Less Gaussians, Texture More: 4K Feed-Forward Textured 
2603.23997	hggt	reconstruction	arXiv preprint (2026-03)	PREPRINT	HGGT: Robust and Flexible 3D Hand Mesh Reconstruction f
2603.22631	cam3r	reconstruction	arXiv preprint (2026-03)	PREPRINT	CAM3R: Camera-Agnostic Model for 3D Reconstruction
2603.21436	pas3r	reconstruction	arXiv preprint (2026-03)	PREPRINT	PAS3R: Pose-Adaptive Streaming 3D Reconstruction for Lo
2603.20588	raymap3r	dynamic	arXiv preprint (2026-03)	PREPRINT	RayMap3R: Inference-Time RayMap for Dynamic 3D Reconstr
2603.18493	filt3r	reconstruction	arXiv preprint (2026-03)	PREPRINT	FILT3R: Latent State Adaptive Kalman Filter for Streami
2603.17571	panovggt	reconstruction	CVPR 2026	LIKELY	PanoVGGT: Feed-Forward 3D Reconstruction from Panoramic
2603.16211	leveling3d	gaussian-splatting	arXiv preprint (2026-03)	PREPRINT	Leveling3D: Leveling Up 3D Reconstruction with Feed-For
2603.14528	interp3r	dynamic	arXiv preprint (2026-03)	PREPRINT	Interp3R: Continuous-time 3D Geometry Estimation with F
2603.09968	recosplat	gaussian-splatting	arXiv preprint (2026-03)	PREPRINT	ReCoSplat: Autoregressive Feed-Forward Gaussian Splatti
2603.07690	framevggt	reconstruction	arXiv preprint (2026-03)	PREPRINT	FrameVGGT: Coherence-Preserving Memory for Bounded Stre
2603.06971	surgcut3r	reconstruction	arXiv preprint (2026-03)	PREPRINT	SurgCUT3R: Surgical Scene-Aware Continuous Understandin
2603.05959	ovggt	reconstruction	arXiv preprint (2026-03)	PREPRINT	OVGGT: O(1) Constant-Cost Streaming Visual Geometry Tra
2603.05078	more	dynamic	CVPR 2026	LIKELY	MoRe: Motion-aware Feed-forward 4D Reconstruction Trans
2603.05097	aim-slam	robotics	arXiv preprint (2026-03)	PREPRINT	AIM-SLAM: Dense Monocular SLAM via Adaptive and Informa
2603.03744	dage	reconstruction	CVPR 2026	LIKELY	DAGE: Dual-Stream Architecture for Efficient and Fine-G
2603.02573	track4world	dynamic	arXiv preprint (2026-03)	PREPRINT	Track4World: Feedforward World-centric Dense 3D Trackin
2602.22571	gifsplat	gaussian-splatting	arXiv preprint (2026-02)	PREPRINT	GIFSplat: Generative Prior-Guided Iterative Feed-Forwar
2602.21186	spa3r	understanding	arXiv preprint (2026-02)	PREPRINT	Spa3R: Predictive Spatial Field Modeling for 3D Visual 
2602.20943	ufo	dynamic	arXiv preprint (2026-02)	PREPRINT	UFO: Unifying Feed-Forward and Optimization-based Metho
2602.20157	flow3r	dynamic	CVPR 2026	LIKELY	Flow3r: Factored Flow Prediction for Scalable Visual Ge
2602.10101	robo3r	robotics	RSS	LIKELY	Robo3R: Enhancing Robotic Manipulation with Accurate Fe
2602.05573	visual	reconstruction	arXiv preprint (2026-02)	PREPRINT	Visual Implicit Geometry Transformer for Autonomous Dri
2602.05321	wid3r	reconstruction	arXiv preprint (2026-02)	PREPRINT	Wid3R: Wide Field-of-View 3D Reconstruction via Camera 
2602.04439	trajvg	dynamic	arXiv preprint (2026-02)	PREPRINT	TrajVG: 3D Trajectory-Coupled Visual Geometry Learning
2602.00865	distill3r	foundation	arXiv preprint (2026-01)	PREPRINT	Distill3R: A Pipeline for Democratizing 3D Foundation M
2601.22615	ttsa3r	reconstruction	arXiv preprint (2026-01)	PREPRINT	TTSA3R: Training-Free Temporal-Spatial Adaptive Persist
2601.17866	mv-sam	understanding	arXiv preprint (2026-01)	PREPRINT	MV-SAM: Multi-view Promptable Segmentation using Pointm
2601.16020	keyframe-based	pose	arXiv preprint (2026-01)	PREPRINT	Keyframe-Based Feed-Forward Visual Odometry
2601.02281	infinitevggt	reconstruction	arXiv preprint (2026-01)	PREPRINT	InfiniteVGGT: Visual Geometry Grounded Transformer for 
2601.01222	unish	reconstruction	arXiv preprint (2026-01)	PREPRINT	UniSH: Unifying Scene and Human Reconstruction in a Fee
2512.23667	idt	reconstruction	arXiv preprint (2025-12)	PREPRINT	IDT: A Physically Grounded Transformer for Feed-Forward
2512.16919	dvgt	reconstruction	arXiv preprint (2025-12)	PREPRINT	DVGT: Driving Visual Geometry Transformer
2512.15508	off-the-grid	gaussian-splatting	CVPR 2026	LIKELY	Off The Grid: Detection of Primitives for Feed-Forward 
